Mês;  Até 18 anos  ;R$ até 18 anos; 19-25 anos ;R$ 19-25 anos; 26-30 anos ;R$ 26-30 anos; 31-40 anos ;R$ 31-40 anos; 41-50 anos ;R$ 41-50 anos; 51-59 anos ;R$ 51-59 anos; ≥ 60 anos ;R$ ≥ 60 anos;  ≥ 80 anos ; R$ ≥ 80 anos
abr/26;706;1.370.455,65;33333;12.870.334,76;70647;30.489.086,34;126052;83.612.922,49;99422;126.241.242,26;51814;104.766.161,02;28572;160.137.747,06;4731;72.724.818,28
mar/26;118;107.295,13;4.063;2.246.000,86;10.334;6.244.818,39;19.921;16.703.300,47;15.456;21.002.233,43;7.954;19.228.211,58;25.028;168.971.506,40;4.566;65.496.633,74
fev/26;404;721.517,77;8021;4.658.400,08;20898;15.263.748,58;48070;65.453.792,45;48701;108.108.459,87;32808;87.939.514,30;39290;220.683.116,36;6632;76.146.351,66
jan/26;378;1.407.331,40;8697;5.518.242,77;22500;14.330.815,38;48072;44.194.625,56;44505;60.112.481,96;26820;51.970.633,51;27295;156.823.972,56;4692;69.296.487,89
dez/25;714;1.048.285,05;13.815;13.096.038,27;30.845;36.825.778,96;69.840;93.801.491,85;67.179;109.865.775,59;40.756;81.143.473,76;34.796;195.174.050,83;5.310;75.043.940,34
nov/25;685;893.845,82;11.555;7.744.887,60;24.088;17.592.254,24;52.480;53.339.187,84;52.674;77.433.022,67;34.124;71.485.653,02;33.382;190.934.454,26;5.322;74.664.248,34
out/25;796;1.087.194,40;12.698;8.317.774,06;26.501;19.883.528,24;62.493;69.050.077,99;63.966;102.639.908,06;39.099;90.634.256,80;36.714;224.819.282,31;6.627;86.525.157,85
set/25;888;1.117.749,50;14.870;9.743.069,55;32.957;26.822.212,04;84.338;116.495.512,78;104.970;243.578.171,05;67.013;190.226.531,86;66.637;328.673.245,80;15.604;118.647.281,99
ago/25;6.527;8.405.894,06;60.849;42.756.103,94;143.916;124.187.085,75;462.477;571.072.409,92;625.118;972.870.987,88;499.199;812.412.380,40;72.434;286.458.635,29;13.515;99.453.504,17
jul/25;9.838;12.511.476,48;289.356;198.708.551,78;715.158;635.092.905,43;2.162.888;2.643.210.118,32;2.382.852;3.586.295.857,13;1.559.393;2.470.880.065,49;83.575;339.661.427,92;15.988;113.639.597,45
jun/25;2.756;3.481.558,60;315.534;202.869.922,64;788.026;716.616.287,82;1.864.967;2.503.204.831,63;1.583.399;2.970.398.703,08;797.965;1.636.758.886,11;1.044.585;2.440.597.838,65;148.090;526.071.971,47
mai/25;1.684;2.595.308,64;172.210;134.911.327,09;490.912;502.021.315,19;1.232.445;1.698.900.452,95;1.131.723;2.038.766.937,71;641.608;1.270.952.399,85;2.346.445;4.596.828.169,39;240.081;755.024.089,18
abr/25;567;701.144,20;21.554;7.812.408,64;46.711;18.733.147,26;87.430;48.735.568,34;62.686;55.719.568,10;30.985;48.406.535,19;25.283;112.501.113,11;4.284;47.024.423,43
mar/25;408;473.308,34;7.767;3.227.030,29;17.241;7.646.253,91;33.160;22.778.084,62;26.767;33.216.477,18;15.318;32.510.734,76;16.215;110.249.980,63;3.163;43.775.094,11
fev/25;390;533.663,04;5.322;2.833.419,39;12.410;7.214.601,34;27.115;24.722.014,27;24.827;43.951.805,62;15.093;42.302.085,37;17.603;140.805.200,98;3.159;52.017.115,81
jan/25;609;1.011.616,54;7.369;4.080.264,34;18.016;13.288.444,07;53.910;99.827.793,49;76.428;237.700.065,18;51.936;177.562.983,25;52.525;266.018.967,52;7.321;65.348.961,21
dez/24;764;1.024.885,95;6.808;4.060.491,54;12.938;8.917.970,65;32.717;40.819.504,61;35.266;68.041.277,78;22.851;62.789.546,10;27.264;192.455.127,27;5.617;70.854.135,81
nov/24;908;1.214.844,84;9.545;6.503.512,79;18.670;13.710.420,83;51.935;61.083.017,55;60.185;103.664.346,64;41.265;99.639.599,23;34.287;204.285.712,99;4.802;68.721.209,24
out/24;948;1.186.786,49;10.220;6.559.968,14;21.843;17.874.452,16;61.664;84.983.676,13;70.739;146.600.787,42;46.083;125.013.495,26;46.689;245.221.993,23;6.416;72.558.841,17
set/24;1.272;1.652.439,85;21.193;14.214.071,58;48.400;48.774.785,52;126.633;165.447.692,19;135.392;244.792.204,77;91.261;193.292.265,31;75.686;284.427.775,11;11.188;80.306.070,79
ago/24;14.492;19.501.040,37;193.326;124.115.403,87;440.215;359.178.789,36;1.445.496;1.596.592.463,55;1.778.579;2.380.240.796,63;1.375.597;2.001.256.207,51;84.659;301.554.559,06;15.077;91.194.646,10
jul/24;5.178;7.000.768,28;368.008;214.865.376,12;875.963;729.567.972,60;2.108.563;2.579.481.851,50;1.731.277;2.886.679.267,94;892.787;1.652.057.852,26;95.040;333.478.819,70;14.756;96.868.091,60
jun/24;2.963;4.085.611,64;264.820;168.867.558,37;643.523;554.776.926,40;1.597.711;1.891.125.211,03;1.350.501;2.046.358.134,98;731.718;1.251.850.272,74;1.024.071;2.153.285.100,25;140.360;429.651.184,59
